state,type,population_thousands,population,population_2011,area
JAMMU & KASHMIR,Total,"13,203","1,32,03,000","1,25,41,302","42,241"
JAMMU & KASHMIR,Rural,"9,306","93,06,000","91,08,060","42,241"
JAMMU & KASHMIR,Urban,"3,897","38,97,000","34,33,242","42,241"
HIMACHAL PRADESH,Total,"7,300","73,00,000","68,64,602","55,673"
HIMACHAL PRADESH,Rural,"6,554","65,54,000","61,76,050","55,673"
HIMACHAL PRADESH,Urban,746,"7,46,000","6,88,552","55,673"
PUNJAB,Total,"29,859","2,98,59,000","2,77,43,338","50,362"
PUNJAB,Rural,"17,803","1,78,03,000","1,73,44,192","50,362"
PUNJAB,Urban,"12,056","1,20,56,000","1,03,99,146","50,362"
CHANDIGARH,Total,"1,179","11,79,000","10,55,450",114
CHANDIGARH,Rural,6,"6,000","28,991",114
CHANDIGARH,Urban,"1,173","11,73,000","10,26,459",114
UTTARAKHAND,Total,"11,141","1,11,41,000","1,00,86,292","53,483"
UTTARAKHAND,Rural,"7,351","73,51,000","70,36,954","53,483"
UTTARAKHAND,Urban,"3,790","37,90,000","30,49,338","53,483"
HARYANA,Total,"28,672","2,86,72,000","2,53,51,462","44,212"
HARYANA,Rural,"17,280","1,72,80,000","1,65,09,359","44,212"
HARYANA,Urban,"11,392","1,13,92,000","88,42,103","44,212"
NCT OF DELHI,Total,"19,814","1,98,14,000","1,67,87,941","1,483"
NCT OF DELHI,Rural,180,"1,80,000","4,19,042","1,483"
NCT OF DELHI,Urban,"19,634","1,96,34,000","1,63,68,899","1,483"
RAJASTHAN,Total,"77,264","7,72,64,000","6,85,48,437","3,42,239"
RAJASTHAN,Rural,"57,141","5,71,41,000","5,15,00,352","3,42,239"
RAJASTHAN,Urban,"20,123","2,01,23,000","1,70,48,085","3,42,239"
UTTAR PRADESH,Total,"2,24,979","22,49,79,000","19,98,12,341","2,40,928"
UTTAR PRADESH,Rural,"1,72,220","17,22,20,000","15,53,17,278","2,40,928"
UTTAR PRADESH,Urban,"52,759","5,27,59,000","4,44,95,063","2,40,928"
BIHAR,Total,"1,19,520","11,95,20,000","10,40,99,452","94,163"
BIHAR,Rural,"1,05,227","10,52,27,000","9,23,41,436","94,163"
BIHAR,Urban,"14,293","1,42,93,000","1,17,58,016","94,163"
SIKKIM,Total,664,"6,64,000","6,10,577","7,096"
SIKKIM,Rural,393,"3,93,000","4,56,999","7,096"
SIKKIM,Urban,271,"2,71,000","1,53,578","7,096"
ARUNACHAL PRADESH,Total,"1,504","15,04,000","13,83,727","83,743"
